Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
0.020000,20.110981,22.470237,14.348226,-7.828903,-5.348674,-9.949810,3.569913,
0.020000,20.251376,22.534394,14.502585,-7.717950,-5.547636,-9.948091,3.570187,
0.020000,20.389730,22.597485,14.654645,-7.603019,-5.746568,-9.946624,3.568335,
0.020000,20.526098,22.659198,14.804327,-7.484109,-5.945475,-9.945365,3.564445,
0.020000,20.660521,22.719243,14.951552,-7.361222,-6.144361,-9.944267,3.558599,
0.020000,20.793025,22.777356,15.096239,-7.234357,-6.343227,-9.943286,3.550876,
0.020000,20.923620,22.833293,15.238309,-7.103516,-6.542074,-9.942382,3.541351,
0.020000,21.052299,22.886834,15.377683,-6.968698,-6.740905,-9.941522,3.530099,
0.020000,21.179056,22.937788,15.514298,-6.830717,-6.899060,-7.907770,3.517196,
0.020000,21.303902,22.985998,15.648129,-6.691560,-6.957813,-2.937631,3.502717,
0.020000,21.426857,23.031339,15.779177,-6.552404,-6.957823,-0.000502,3.486738,
0.020000,21.547924,23.073701,15.907442,-6.413248,-6.957820,0.000148,3.469336,
0.020000,21.667094,23.112996,16.032924,-6.274091,-6.957804,0.000793,3.450595,
0.020000,21.784344,23.149156,16.155622,-6.134936,-6.957775,0.001438,3.430608,
0.020000,21.899636,23.182132,16.275538,-5.995781,-6.957734,0.002067,3.409471,
0.020000,22.012924,23.211895,16.392671,-5.856628,-6.957680,0.002662,3.387293,
0.020000,22.124150,23.238439,16.507020,-5.717475,-6.957616,0.003204,3.364188,
0.020000,22.233248,23.261779,16.618587,-5.578324,-6.957543,0.003667,3.340282,
0.020000,22.340145,23.281950,16.727370,-5.439175,-6.957463,0.004023,3.315703,
0.020000,22.444764,23.299010,16.833371,-5.300028,-6.957377,0.004254,3.290591,
0.020000,22.547024,23.313038,16.936588,-5.160882,-6.957291,0.004341,3.265085,
0.020000,22.646844,23.324133,17.037023,-5.021738,-6.957205,0.004277,3.239329,
0.020000,22.744145,23.332410,17.134675,-4.882595,-6.957124,0.004065,3.213464,
0.020000,22.838848,23.338005,17.229544,-4.743454,-6.957049,0.003718,3.187631,
0.020000,22.930884,23.341067,17.321630,-4.604315,-6.956984,0.003260,3.161963,
0.020000,23.020185,23.341756,17.410934,-4.465176,-6.956930,0.002712,3.136587,
0.020000,23.106692,23.340245,17.497455,-4.326038,-6.956887,0.002127,3.111619,
0.020000,23.190356,23.336714,17.581193,-4.186901,-6.956857,0.001522,3.087164,
0.020000,23.271133,23.331348,17.662148,-4.047764,-6.956838,0.000926,3.063317,
0.020000,23.348990,23.324333,17.740321,-3.908628,-6.956831,0.000384,3.040158,
0.020000,23.423902,23.315860,17.815710,-3.769491,-6.956833,-0.000111,3.017756,
0.020000,23.495852,23.306114,17.888317,-3.630354,-6.956843,-0.000509,2.996168,
0.020000,23.564831,23.295280,17.958142,-3.491217,-6.956860,-0.000847,2.975437,
0.020000,23.630836,23.283536,18.025183,-3.352079,-6.956882,-0.001108,2.955598,
0.020000,23.693871,23.271055,18.089442,-3.212941,-6.956908,-0.001284,2.936673,
0.020000,23.753946,23.258004,18.150918,-3.073802,-6.956935,-0.001374,2.918678,
0.020000,23.811074,23.244540,18.209611,-2.934663,-6.956965,-0.001469,2.901620,
0.020000,23.865273,23.230814,18.265522,-2.795523,-6.956994,-0.001438,2.885500,
0.020000,23.916565,23.216966,18.318650,-2.656383,-6.957022,-0.001427,2.870315,
0.020000,23.964971,23.203129,18.368994,-2.517242,-6.957050,-0.001378,2.856054,
0.020000,24.010532,23.189423,18.416573,-2.378914,-6.916417,2.031629,2.842703,
0.020000,24.053327,23.175943,18.461440,-2.243386,-6.776395,7.001097,2.830231,
0.020000,24.093457,23.162770,18.503677,-2.111833,-6.577641,9.937716,2.818602,
0.020000,24.131021,23.149970,18.543362,-1.984255,-6.378883,9.937879,2.807777,
0.020000,24.166118,23.137600,18.580575,-1.860653,-6.180123,9.938022,2.797720,
0.020000,24.198845,23.125708,18.615396,-1.741025,-5.981360,9.938149,2.788395,
0.020000,24.229297,23.114332,18.647903,-1.625374,-5.782594,9.938274,2.779764,
0.020000,24.257567,23.103502,18.678177,-1.513697,-5.583827,9.938389,2.771794,
0.020000,24.283749,23.093243,18.706297,-1.405996,-5.385058,9.938457,2.764449,
0.020000,24.307931,23.083569,18.732342,-1.302270,-5.186286,9.938552,2.757698,
0.020000,24.330203,23.074492,18.756393,-1.202520,-4.987515,9.938588,2.751508,
0.020000,24.350651,23.066017,18.778528,-1.106745,-4.788741,9.938672,2.745849,
0.020000,24.369361,23.058144,18.798827,-1.014946,-4.589967,9.938729,2.740692,
0.020000,24.386416,23.050868,18.817369,-0.927122,-4.391192,9.938741,2.736009,
