Delta Time, X Point, Y Point, Position, Velocity, Acceleration, Jerk, Heading, 
20, 17.999995, 5.015028, 19.613080, 0.272598, -2.956818, 14.532539, 4.713079, 
20, 17.999997, 5.010642, 19.617466, 0.219275, -2.666164, 14.532665, 4.712878, 
20, 17.999999, 5.007207, 19.620901, 0.171765, -2.375516, 14.532419, 4.712720, 
20, 18.000000, 5.004606, 19.623502, 0.130067, -2.084868, 14.532412, 4.712600, 
20, 18.000000, 5.002722, 19.625386, 0.094183, -1.794215, 14.532639, 4.712514, 
20, 18.000000, 5.001440, 19.626668, 0.064112, -1.503566, 14.532442, 4.712455, 
20, 18.000000, 5.000643, 19.627465, 0.039853, -1.212914, 14.532619, 4.712418, 
20, 18.000000, 5.000215, 19.627894, 0.021408, -0.922269, 14.532216, 4.712399, 
20, 18.000000, 5.000039, 19.628069, 0.008776, -0.631613, 14.532827, 4.712391, 
20, 18.000000, 5.000000, 19.628108, 0.001956, -0.340966, 14.532368, 4.712389, 
20, 18.000000, 5.000000, 19.628108, 0.000000, -0.097821, 12.157214, 4.712389, 
